312;Амелия Смит;Тени прошлого;1998;250;Нет;Захватывающий детектив о тайне, скрытой в старом поместье
14;Джон Браун;Код Вечности;2021;480;Да;Научно-фантастический триллер с элементами киберпанка
456;Елена Иванова;Зимний сад;2005;320;Нет;Романтическая история о любви и потерях в предновогодней суете
23;Карлос Перес;Тайны пирамид;2018;600;Да;Археологическая экспедиция в поисках древних артефактов
501;Ольга Петрова;Созвездие Льва;2012;380;Нет;Фантастическая сага о межзвездных путешествиях
7;Андрей Козлов;Последний рубеж;2023;550;Да;Военный боевик с элементами постапокалипсиса
102;Мария Сидорова;Книга сновидений;2009;280;Нет;Психологический триллер о гранях реальности
278;Марк Ли;Путь самурая;2015;420;Да;Искусство боевых единоборств и философия жизни
33;София Морозова;Цветы зла;2011;350;Нет;Готическая история о мрачном проклятии
589;Томас Мур;Серебряный дракон;2022;580;Да;Фэнтези-приключение в мире волшебства и магии
81;Анастасия Белова;Шепот ветра;2001;200;Нет;Лирическая повесть о любви к природе
432;Генри Кинг;Королевская кровь;2017;450;Да;Историческая драма о дворцовых интригах
21;Вера Соколова;Зеркала лжи;2008;300;Нет;Детектив о расследовании запутанного преступления
199;Дэвид Грин;Звездные войны;2020;500;Да;Космическая опера о борьбе за свободу во вселенной
555;Наталья Воробьева;Секреты прошлого;2013;330;Нет;Семейная сага с элементами детектива
68;Роберт Холл;Машина времени;2019;490;Да;Путешествия во времени и их последствия
12;Екатерина Волкова;Загадка старого дома;2006;270;Нет;Детективная история о призраках и тайнах
400;Сэмюэль Уайт;Остров сокровищ;2024;620;Да;Классическая история о пиратах и приключениях
93;Алина Попова;Город теней;2010;360;Нет;Фантастическая антиутопия с элементами киберпанка
222;Чарльз Блэк;Кровавая луна;2023;570;Да;Ужасы и мистика о древних проклятиях
3;Оксана Кузнецова;Потерянные души;2003;220;Нет;Драма о душевных терзаниях и поиске себя
511;Энтони Смит;Черная дыра;2016;470;Да;Научно-популярное издание о космосе
15;Юлия Новикова;Следы на песке;2007;290;Нет;Романтическая повесть о любви на берегу моря
378;Ричард Грей;Эльфийские сказки;2021;510;Да;Фэнтези для детей и взрослых
466;Ирина Морозова;Магия трав;2014;340;Нет;Практическое руководство по целебным травам
29;Джеймс Картер;Космический десант;2022;590;Да;Научная фантастика о войне в космосе
118;Светлана Васильева;Тайны кулинарии;2004;260;Нет;Сборник рецептов со всего мира
47;Бенджамин Харрис;Мир сновидений;2018;460;Да;Философское исследование природы снов
521;Людмила Федорова;Рассвет надежды;2011;310;Нет;Мотивационный роман о преодолении трудностей
399;Алекс Миллер;Код да Винчи;2023;610;Да;Интеллектуальный триллер о загадках истории
60;Анастасия Кравченко;Звуки тишины;2002;210;Нет;Поэтический сборник о красоте мира
122;Дэниел Кларк;Утерянный город;2019;430;Да;Приключенческий роман о поисках древних цивилизаций
543;Елена Орлова;Дорога к себе;2008;280;Нет;Психологическое руководство по саморазвитию
36;Гаррисон Форд;Меч короля Артура;2020;540;Да;Фэнтези о подвигах рыцарей
177;Ольга Сорокина;Зимняя сказка;2015;350;Нет;Добрая история для детей о волшебстве
40;Стивен Кинг;Оно;2023;650;Да;Хоррор о зле, которое возвращается
345;Елена Петрова;Сад камней;2005;240;Нет;Философская притча о смысле жизни
2;Майкл Джексон;Звездные танцы;2022;580;Да;Автобиография известного танцора
215;Наталья Смирнова;Берег надежды;2010;330;Нет;Роман о любви и верности
18;Том Хэнкс;Форрест Гамп;2024;500;Да;История о необыкновенной жизни обычного человека
444;Ирина Белова;Магия чисел;2003;200;Нет;Увлекательное изучение нумерологии
50;Роберт Дауни;Железный человек;2017;420;Да;Комикс о супергерое в броне
9;Ксения Лебедева;Музыка сердца;2009;300;Нет;Роман о любви к музыке и творчестве
333;Джон Траволта;Криминальное чтиво;2021;550;Да;Триллер о жестоком мире преступности
1;Мария Кузьмина;Тайны Вселенной;2013;380;Нет;Научно-популярное издание об астрономии
10;Брэд Питт;Бойцовский клуб;2020;490;Да;Психологический триллер о раздвоении личности
147;Александра Новикова;Сила мысли;2006;250;Нет;Руководство по развитию силы воли
599;Леонардо ДиКаприо;Волк с Уолл-стрит;2022;600;Да;История о финансовых махинациях
234;Анна Полякова;Полет на Луну;2012;320;Нет;Научно-фантастическая история о космических полетах
212;Кейт Уинслет;Титаник;2024;520;Да;Романтическая драма о любви на фоне трагедии
